r,Vr
0.00,12.62
1.70,10.48
1.72,10.48
2.00,10.55
5.38,6.57
7.45,5.32
10.90,3.22
12.09,2.82
14.07,5.31
17.01,7.71
23.58,11.09
26.59,11.81
28.44,11.46
30.55,11.92
33.44,12.38
36.58,13.04
39.24,14.10
39.77,14.40
43.37,18.88
46.73,23.79
47.93,24.38
49.90,25.43
57.00,29.19
57.46,29.51
57.60,29.61
64.16,39.18
69.05,45.84
69.45,46.38
71.63,46.92
74.56,48.46
76.43,49.74
79.79,52.85
80.51,53.52
82.26,54.45
85.05,56.04
89.65,59.50
93.54,62.88
102.11,69.49
102.69,70.01
104.33,71.48
104.42,71.55
105.00,72.03
107.70,74.36
109.34,75.10
110.34,75.45
111.04,75.64
123.00,77.78
125.67,77.54
126.04,77.51
127.33,77.39
128.78,76.68
129.46,76.42
130.59,75.99
132.60,76.06
134.92,75.16
135.62,74.90
143.98,72.92
149.06,70.54
151.85,69.46
152.17,69.33
157.50,67.01
166.43,63.88
166.71,63.78
168.40,63.28
169.55,62.89
173.41,61.34
174.49,60.99
175.96,60.43
178.27,59.88
183.95,58.60
192.13,56.76
195.30,56.20
196.34,55.90
197.08,55.75
198.35,55.53
201.10,54.86
202.92,54.43
203.29,54.34
211.91,52.24
214.23,51.95
228.87,49.55
229.34,49.46
229.37,49.45
232.30,48.89
233.49,48.80
238.36,48.03
243.72,47.18
244.52,47.05
244.79,46.99
245.01,46.96
245.41,46.87
245.74,46.80
255.00,44.54
261.13,43.04
263.09,42.61
264.58,42.35
264.81,42.32
266.51,42.16
269.20,41.82
269.97,41.72
287.54,40.56
288.04,40.52
288.05,40.52
288.07,40.51
288.18,40.50
288.20,40.50
288.25,40.49
288.74,40.41
288.90,40.38
301.65,38.30
305.05,37.98
309.14,37.77
309.95,37.70
310.83,37.61
313.38,37.34
318.51,36.86
320.71,36.66
323.73,36.43
324.34,36.37
325.45,36.25
333.91,35.30
336.18,35.11
341.58,34.65
342.28,34.57
351.03,33.62
352.18,33.48
353.92,33.31
355.57,33.15
356.45,33.06
357.30,32.97
357.70,32.93
359.59,32.75
360.77,32.61
371.70,31.38
372.63,31.29
375.59,31.00
378.47,30.71
381.26,30.55
383.31,30.43
385.52,30.28
395.44,29.56
399.42,29.32
401.64,29.19
402.73,29.10
408.15,28.87
410.40,28.77
412.77,28.64
417.02,28.42
426.42,27.99
429.12,27.78
439.25,27.06
440.67,26.95
441.42,26.90
447.72,26.54
451.98,26.30
453.08,26.24
460.71,25.85
469.44,25.39
470.45,25.34
475.49,25.18
482.58,24.96
484.31,24.91
486.13,24.83
486.14,24.83
493.89,24.51
495.49,24.42
501.05,24.19
501.07,24.19
504.41,24.02
504.42,24.02
506.94,23.92
516.45,23.37
520.09,23.15
523.45,22.95
526.65,22.79
531.05,22.56
533.66,22.50
541.20,22.49
542.14,22.45
556.23,22.02
556.76,22.00
566.86,21.48
567.87,21.44
571.18,21.33
574.80,21.25
581.55,21.01
587.90,20.81
589.84,20.76
594.31,20.64
604.61,20.26
606.68,20.17
609.99,20.04
611.96,19.98
620.22,19.73
623.92,19.64
628.88,19.46
629.68,19.43
632.51,19.42
633.85,19.41
637.50,19.34
643.65,19.21
644.60,19.19
651.67,19.14
657.07,18.94
664.81,18.71
666.10,18.67
669.65,18.53
674.78,18.32
678.73,18.23
680.03,18.19
684.04,18.07
694.89,17.67
699.97,17.48
704.55,15.44
704.60,15.43
706.63,14.74
707.29,14.90
709.39,15.78
712.83,17.20
716.43,17.13
722.78,16.97
724.57,16.93
727.25,16.86
727.97,16.85
733.62,16.81
738.94,16.78
744.64,16.76
747.26,16.74
750.08,16.73
753.61,16.68
759.90,16.59
762.13,16.56
764.40,16.50
767.09,16.43
769.97,16.36
773.41,16.30
778.11,16.23
778.45,16.22
782.21,13.44
782.79,13.01
785.28,11.79
786.21,11.35
788.81,11.35
789.79,11.35
791.53,12.40
793.32,15.62
793.48,15.91
799.24,15.81
807.87,15.62
813.44,15.53
815.21,15.50
819.28,15.37
822.42,15.31
827.50,15.22
829.18,15.19
834.51,15.10
843.44,14.91
845.99,14.86
850.27,14.80
858.97,14.68
864.40,14.53
869.28,14.42
872.94,14.34
876.70,14.27
881.97,14.16
889.43,13.93
891.38,13.87
895.15,13.78
899.73,13.71
905.47,13.58
910.56,13.53
914.83,13.48
926.64,13.34
926.89,13.34
929.13,13.31
935.55,13.26
935.80,13.26
950.43,13.21
955.55,13.20
959.29,13.19
966.79,13.16
968.19,13.15
979.31,13.12
983.75,13.09
985.44,13.07
995.38,12.95
999.32,12.88
1000.00,12.87
