,FSI_0,CODE_0,FSI_45,CODE_45,FSI_90,CODE_90
1,76087,8566331,-2242747,131502,-6485428,-7802600
10,7739056,8153518,6849428,7463765,7354627,7572386
19,94717,-7939687,2478172,226694,6841379,7896727
28,-7520178,-7587404,-6670520,-7103460,-7053558,-7437659
1138,5700190,5762096,4872655,5240510,5745429,5054689
1134,489323,-5546546,1464355,-87671,5261033,5140254
1148,-5475972,-5150346,-4663713,-4865364,-5449006,-4906536
1158,-278569,6033010,-1296459,389437,-5024345,-4958476
1589,-190667,1633519,-275697,200305,-1204380,-1170523
1593,1442082,1542280,1284468,1346844,1763553,1210736
1597,359446,-1353768,437336,93627,1356211,1506372
1585,-1346006,-1271577,-1181182,-1277776,-1556768,-1349302
44,185978,-180256,208142,38083,316926,266695
50,185984,-180257,208147,38084,316941,266699
765,152350,162499,204738,292997,327698,487694
770,152352,162501,204741,292998,327707,487708
771,152352,162501,204740,292997,327705,487702
57,-92469,-479261,-127285,-520571,165261,-518944
772,-273851,-315873,-41686,192221,-196223,493857
778,-273842,-315864,-41680,192230,-196222,493862
58,-200189,-111804,-298280,-356325,-320776,-590350
64,-200189,-111804,-298278,-356321,-320775,-590340
779,-235550,116547,-179325,16198,-366942,-173808
785,-235548,116547,-179320,16199,-366928,-173796
37,67795,351812,144131,156221,-77543,30905
43,67795,351819,144130,156222,-77543,30905
786,319719,447429,86345,178269,110554,-67230
792,319717,447439,86345,178273,110551,-67229
1125,-100609,-67567,-98519,-92224,-136127,-118366
1127,-100601,-67562,-98514,-92223,-136122,-118362
1131,-39742,60927,-57213,-30908,-123304,-130290
1133,-39736,60926,-57215,-30908,-123302,-130290
1142,29136,128680,6303,33734,-54021,-64091
1144,29142,128684,6312,33738,-54013,-64086
1145,86776,119816,71933,81739,55333,55143
1147,86781,119816,71941,81739,55331,55142
1152,90365,44602,83763,77990,130101,119399
1154,90352,44606,83765,77990,130100,119403
1155,38946,-66393,59541,28074,126819,110657
1157,38935,-66394,59542,28074,126816,110657
1162,-30900,-140821,-7717,-38329,47741,46635
1164,-30907,-140818,-7719,-38327,47740,46638
1130,-100455,-143238,-81591,-94422,-70108,-51880
1128,-100467,-143242,-81598,-94422,-70123,-51883
1842,-44071,-98790,-59030,-58369,-56230,-21105
1844,-44063,-98789,-59024,-58368,-56217,-21101
1833,4756,5812,4387,5572,4533,5140
1835,4773,5812,4405,5573,4559,5140
1836,-56029,-95699,-63401,-76237,-80343,-57014
1838,-56036,-95699,-63398,-76233,-80351,-57003
1839,8827,18174,9331,10835,5908,4189
1841,8788,18174,9323,10838,5883,4197
2375,-41275,-126918,-42906,-44943,-98165,20543
2006,-36323,-77870,-27432,-50581,-25048,-30824
2391,-54827,-71783,-42056,-71144,-90855,-62413
1871,-44956,-116266,-50365,-87957,-82323,-72372
1866,80246,-29421,104655,22940,289303,56857
1980,151717,71413,168667,289317,215699,496418
1992,-104975,58860,-124970,-203527,-178460,-455841
1863,-80902,46005,-86347,-5300,-225480,-38038
1739,72983,50045,102209,139576,193662,213558
1741,72992,50051,102216,139587,193671,213580
1742,38311,108997,30573,45245,1868,-13811
1744,38325,108998,30597,45255,1887,-13783
1733,-15494,76151,-42033,-54486,-84009,-166187
1735,-15496,76156,-42028,-54476,-84018,-166163
1736,-56028,-157006,-52527,-78026,-39764,-4689
1738,-56070,-157006,-52531,-78020,-39778,-4670
75,339906,690916,301379,587340,301508,504484
764,131942,217588,349835,441915,145936,639994
734,28698,-639987,129023,-236417,310363,130009
85,-175598,-60980,205778,764916,-11293,1373295
744,-106504,-477908,-389004,-1045430,34846,-1293727
95,-248866,-161409,-148353,80227,-333025,171113
65,230270,489511,-185504,-91405,-95070,-604022
754,75745,266548,-129667,-332107,-164543,-702131
1006,-200282,-486879,-91869,-273884,111703,-92196
1079,287674,484867,185695,351341,54283,248023
1021,-250128,-103774,-291240,-335725,-328081,-585972
1085,181014,-58655,242461,256541,317579,587745
1012,163882,379494,51935,41393,-62503,-253796
1091,-268143,-371417,-144938,-108937,-99061,107432
1015,225942,45578,244547,98426,396673,161985
1073,-138827,134276,-196528,-15954,-385591,-163260
2070,1144,69722,-8954,-31408,-24367,-128715
1938,-10699,56379,-17703,8965,-42971,-28436
1951,53870,37845,69539,48343,161394,59693
2055,96410,73513,93481,128483,130745,180697
1788,-242703,-99052,-218780,-278434,-296053,-462599
1591,-190748,1629650,-275754,198029,-1204490,-1171514
1776,49429,337785,24100,40458,-66079,-235552
1677,-120480,142064,-120397,21438,-335255,-97290
1780,205916,71008,187639,83352,375231,101560
1687,216791,366118,196229,288862,176118,222397
1784,-61007,-352585,-36831,-144176,111922,49078
1681,181888,-67985,174783,203646,280121,474228
1580,99854,264991,63580,214468,-100066,175766
1731,71117,106252,69284,90304,58253,76221
1852,-29569,-109692,-28090,-48132,23019,9437
1727,38109,1110,40524,50086,51586,99193
1846,-37252,-7288,-41081,-52340,-51824,-97674
1729,-56818,-89307,-51596,-38581,-65304,4003
1848,11243,92791,8966,-2311,-19737,-89584
1725,-28012,14999,-21663,2779,-66879,-9392
