Vz(m/s),,
r/m,h/m,h/m
,0.008,0.023
0.00427,0.10624,0.23241
0.00669,0.12986,0.20920
0.01028,0.14768,0.15236
0.01412,0.11789,0.04680
0.01819,-0.00580,-0.12322
0.02229,-0.21288,-0.34452
0.02615,-0.40567,-0.56336
0.03006,-0.47678,-0.73045
0.03402,-0.22224,-0.74428
0.03809,0.58410,-0.36628
0.04218,1.69708,0.79660
0.04609,2.44282,2.32082
0.05003,2.67889,3.62144
0.05400,2.49120,4.28245
0.05805,2.08997,4.22141
0.06214,1.68368,3.68138
0.06607,1.33153,2.95065
0.07001,1.02200,2.20504
0.07399,0.75641,1.57680
0.07804,0.53879,1.11881
0.08212,0.37205,0.81378
0.08605,0.25517,0.61769
0.09001,0.17009,0.47828
0.09399,0.10738,0.37366
0.09803,0.06655,0.29264
0.10269,0.03655,0.22548
0.10631,0.01919,0.18275
0.10980,0.00486,0.15090
0.11455,-0.01389,0.11477
0.11761,-0.02068,0.09904
0.12240,-0.02239,0.08373
0.12616,-0.02375,0.07519
0.12967,-0.02564,0.07140
0.13451,-0.02794,0.06954
0.13750,-0.02741,0.07051
0.14237,-0.02282,0.07562
0.14612,-0.01941,0.07979
0.14958,-0.01677,0.08467
0.15454,-0.01310,0.09323
0.15739,-0.01036,0.09819
0.16243,-0.00294,0.10997
0.16612,0.00200,0.11828
0.16952,0.00602,0.12584
0.17466,0.01227,0.13754
0.17715,0.01535,0.14330
0.18268,0.02367,0.15718
0.18608,0.02840,0.16545
0.18930,0.03236,0.17276
0.19518,0.03922,0.18560
0.19573,0.03990,0.18695
0.20250,0.04726,0.20205
0.20626,0.05341,0.20972
0.21001,0.05859,0.21706
0.21376,0.06338,0.22406
0.21750,0.06837,0.23070
0.22250,0.07412,0.23866
0.22626,0.07833,0.24402
0.23001,0.08226,0.24889
0.23376,0.08596,0.25328
0.23750,0.08947,0.25720
0.24250,0.09369,0.26145
0.24626,0.09651,0.26392
0.25001,0.09909,0.26588
0.25376,0.10142,0.26736
0.25750,0.10350,0.26835
0.26250,0.10579,0.26871
0.26626,0.10714,0.26829
0.27001,0.10824,0.26741
0.27376,0.10910,0.26608
0.27750,0.10972,0.26432
0.28250,0.11006,0.26112
0.28626,0.10995,0.25810
0.29001,0.10961,0.25469
0.29376,0.10905,0.25090
0.29750,0.10826,0.24673
0.30250,0.10678,0.24045
0.30626,0.10536,0.23520
0.31001,0.10374,0.22963
0.31376,0.10192,0.22373
0.31750,0.09990,0.21752
0.32250,0.09683,0.20860
0.32626,0.09424,0.20145
0.33001,0.09148,0.19401
0.33376,0.08853,0.18629
0.33750,0.08541,0.17830
0.34250,0.08089,0.16707
0.34626,0.07725,0.15824
0.35001,0.07344,0.14915
0.35376,0.06946,0.13981
0.35750,0.06533,0.13022
0.36250,0.05950,0.11690
0.36626,0.05488,0.10650
0.37001,0.05010,0.09586
0.37376,0.04515,0.08496
0.37750,0.04000,0.07381
0.38250,0.03279,0.05830
0.38626,0.02706,0.04628
0.39001,0.02072,0.03423
0.39376,0.01366,0.02210
0.39750,0.00581,0.00987
